step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,6,0.0,0.0,2.714291678937426,1,0.0,0.0,0,0.0,0.20873735261131504,2,0.0,0.15440345223408167,0,0.0,1.0,0,0.0,0.22468840538514295,0,0.0,0.09000814442840895,0,0.0,1.0,0,0.0,0.29380978877100505,0,0.0,0.21034897374780143,1,0.0,0.06802967094769412,0,0.0,0.23087479679070497,1,0.0,0.07196333914422082,1,0.0,0.2690632641435953,0,0.0,0.23825686016133912,0,0.0,0.27002936094560825,0,0.0,0.37826565317088523,-0.113,6,6,0.0
10.0,9,0.0,0.0,7.0378649474181865,0,0.0,0.44102987892549017,0,0.0,0.6594977554220668,2,0.0,0.509368937345432,1,0.0,0.3470781373445448,1,0.0,0.3710919418970347,0,0.0,0.5174623537487598,1,0.0,0.20605674285885933,0,0.0,0.7219597744684579,0,0.0,0.7728926742271013,0,0.0,0.5499317373294134,0,0.0,0.6144659805286213,0,0.0,0.4214497927624567,1,0.0,0.42111504646707737,1,0.0,0.44179466902894715,0,0.0,0.5591098554076521,2,0.0,0.5758144787512479,-0.169,9,9,0.0
15.0,7,0.0,0.0,8.921304095496994,0,0.0,0.8177388723843201,1,0.0,0.6636677466160121,0,0.0,0.6725520322272,0,0.0,0.544307497702263,0,0.0,0.6555610735715691,1,0.0,0.5745001229139671,0,0.0,0.5102527064668803,1,0.0,0.5908471042927942,0,0.0,0.7691089385442181,0,0.0,0.7540447536394101,0,0.0,0.6616590442491483,0,0.0,0.786407118074637,0,0.0,0.674550387666443,1,0.0,0.6070264864032939,2,0.0,0.44039687637181574,1,0.0,0.6104870454480841,-0.131,7,7,0.0
20.0,32,30.0,0.15706806282722513,7.546762165797121,1,0.0,0.5107174770196383,2,2.0,0.615264262016747,4,8.0,0.5429704729563195,2,0.0,0.6278448943060069,1,3.0,0.5739981255162377,0,0.0,0.5553030993787736,1,0.0,0.6151755517699428,3,2.0,0.41371267200335443,2,1.0,0.4083897314324382,3,1.0,0.44713560847778666,3,5.0,0.468362950139287,3,0.0,0.5297029721212331,1,1.0,0.7107833571621269,2,3.0,0.5129100727824998,1,2.0,0.6784830597204563,3,2.0,0.6107060877144214,-0.6,32,32,30.0
25.0,47,167.0,0.7046413502109705,7.055515773199718,4,12.0,0.48502256284706985,3,15.0,0.5569706051525434,5,25.0,0.29529604905227025,1,0.0,0.7380509567312451,5,16.0,0.4871596473859883,3,8.0,0.5203153179084371,5,5.0,0.3873986572396127,2,8.0,0.5923742245463314,2,8.0,0.532891035098624,5,17.0,0.4082664731286066,4,20.0,0.529845898615678,3,6.0,0.46390763480458747,0,3.0,0.6678862277233454,3,15.0,0.46198113716677613,1,7.0,0.6188693302999095,1,7.0,0.569732978560301,-0.881,47,47,172.0
30.0,74,404.0,1.4027777777777777,6.2862706554918795,6,20.0,0.48224523359699445,5,39.0,0.45962113243259073,10,66.0,0.24396031895765893,1,0.0,0.5745563553699047,3,24.0,0.5463762065131448,3,23.0,0.41040226159498877,5,22.0,0.4621925199804485,5,26.0,0.4092086196319503,2,14.0,0.6484112851595728,6,44.0,0.4376614447046606,8,49.0,0.3462806892705417,6,26.0,0.5251916246614672,2,4.0,0.5784678537260234,5,29.0,0.33063642763252954,3,16.0,0.4333984976466335,4,22.0,0.4701621100811231,-1.387,74,74,424.0
35.0,100,644.0,1.9223880597014926,5.882823352572737,3,35.0,0.4985224638959284,7,67.0,0.3934061645327071,6,89.0,0.2461127490905149,5,9.0,0.5027903581356455,6,38.0,0.43924092338823795,7,43.0,0.4126225737775471,4,34.0,0.5102901363077083,8,52.0,0.3090453984117511,3,25.0,0.5912721706611886,11,85.0,0.39184415838617015,8,77.0,0.354842285415476,4,28.0,0.41861285965021955,5,13.0,0.4621199472817438,11,72.0,0.33207821391293574,7,40.0,0.5113589145539427,5,33.0,0.5108537310294274,-1.875,100,100,740.0
40.0,133,1138.0,2.979057591623037,5.316822216468474,6,63.0,0.42521287211181,14,116.0,0.2892581014355831,8,103.0,0.4556718585533826,6,31.0,0.4579548082976703,6,58.0,0.35887717374368366,9,77.0,0.40334581616509785,7,60.0,0.36373729581096237,11,104.0,0.4418828207743758,4,47.0,0.3931409388607977,16,142.0,0.2732276870680911,12,114.0,0.33715552019192796,6,47.0,0.37350278247795266,6,43.0,0.42815887742286524,10,110.0,0.23371100325012112,4,45.0,0.5318025896737257,8,52.0,0.4547632739315759,-2.494,133,133,1212.0
45.0,180,1686.0,3.9484777517564402,4.510315744794571,12,114.0,0.4057529607376354,14,141.0,0.23587176534743953,8,137.0,0.4192907197907082,9,70.0,0.3699318976590955,10,90.0,0.32611896027090614,12,124.0,0.24685228285067587,14,118.0,0.25930307527507496,13,154.0,0.3938125392829675,8,81.0,0.18573350003102815,19,204.0,0.2454849100444599,12,152.0,0.3295162998215847,11,89.0,0.24818938369920418,8,68.0,0.2119424206268563,13,164.0,0.2850549014289957,9,72.0,0.4513014911794474,8,84.0,0.38753492500921966,-3.375,180,180,1862.0
50.0,223,2451.0,5.192796610169491,4.033923095768701,10,153.0,0.3339560953425359,15,174.0,0.20151816930372304,13,194.0,0.3599515825868408,14,128.0,0.3784821806227884,9,100.0,0.1766476817014793,15,182.0,0.25078547066033274,21,207.0,0.28021985614520944,19,219.0,0.2326501861192464,9,126.0,0.20770081366374255,18,265.0,0.24586249273007255,17,194.0,0.2774254571517182,10,130.0,0.26888228999885616,13,118.0,0.1796102666862406,13,223.0,0.37444937227581304,13,113.0,0.3849141726060917,14,123.0,0.22663396691743645,-4.181,223,223,2649.0
55.0,250,3046.0,5.914563106796116,3.7091154157923087,16,211.0,0.23767031743402448,19,249.0,0.18327729236621426,14,249.0,0.22829856213281874,17,195.0,0.30764719224773784,12,128.0,0.3326591732454055,13,208.0,0.20209155249701638,17,251.0,0.2850997156262976,19,272.0,0.24758696875169078,10,174.0,0.30808245708218096,22,352.0,0.2285718222181126,17,220.0,0.287317466687609,12,168.0,0.2719039440504647,16,184.0,0.1576050261612111,14,256.0,0.36273544508306427,16,162.0,0.31514246350188935,16,188.0,0.17052177070303223,-4.688,250,250,3467.0
60.0,278,3549.0,6.32620320855615,3.5683467944130474,15,251.0,0.20549568498588305,25,329.0,0.14282318352251844,20,335.0,0.17372512823783332,24,306.0,0.2873789466376211,11,155.0,0.4123255485023422,18,250.0,0.20130358639234053,19,289.0,0.2521214594960732,17,324.0,0.2206417810176994,13,232.0,0.33576656950003503,25,400.0,0.2103254096455906,16,214.0,0.316190916064448,10,175.0,0.29956620723948146,18,267.0,0.22731131784135805,15,273.0,0.24420091218884604,17,206.0,0.22403862189505042,15,249.0,0.1959311103757227,-5.212,278,278,4255.0
65.0,287,3987.0,6.525368248772504,3.562042388357057,12,252.0,0.26880027908624426,26,392.0,0.09063834178340237,22,433.0,0.21119715794019248,22,362.0,0.2421111786169712,9,166.0,0.30041883382300794,17,315.0,0.3490883287118205,26,376.0,0.2519560431399537,14,318.0,0.19819750871586514,11,235.0,0.2914884261648711,23,428.0,0.2666608158995178,17,278.0,0.28752450778144667,15,180.0,0.2578416538054038,19,351.0,0.28536841051292877,16,314.0,0.14996936215752218,22,257.0,0.19939678952890058,16,317.0,0.28056755392505034,-5.381,287,287,4974.0
70.0,334,4739.0,7.180303030303031,3.4293048304359464,13,273.0,0.3222244320630266,27,447.0,0.1491331180754881,27,550.0,0.22817415138866246,23,412.0,0.20480960033161558,14,209.0,0.2649429524737834,17,381.0,0.34174948630367097,32,516.0,0.21480089770246816,16,285.0,0.1897752223824762,16,235.0,0.287465352085144,26,484.0,0.20109280800843582,30,393.0,0.24208571713298535,18,261.0,0.2828095832896288,19,421.0,0.2907975249651662,16,378.0,0.2154915497540219,21,325.0,0.22135077079128795,19,396.0,0.25525129220175236,-6.262,334,334,5966.0
75.0,364,5300.0,7.443820224719101,3.3692962232541053,16,329.0,0.28145468903654264,21,523.0,0.17013062188636185,24,569.0,0.24532834939490844,25,479.0,0.19309992067306683,17,251.0,0.248059935487203,18,432.0,0.25708056959592035,31,615.0,0.18504550885132143,17,293.0,0.27656610909741247,15,296.0,0.30321487497930816,32,510.0,0.16742765945255758,39,570.0,0.17016456337647007,19,343.0,0.31467126176724225,25,529.0,0.2551608545546509,21,448.0,0.20475716180718898,24,362.0,0.30730658208598044,20,422.0,0.24916700269246292,-6.825,364,364,6971.0
80.0,403,6241.0,8.2443857331572,2.9845949878610063,20,409.0,0.1571775899919899,17,548.0,0.20940450927012502,24,506.0,0.2747746580080832,28,586.0,0.21463245788841728,24,346.0,0.21740812668142498,22,460.0,0.22336068347479898,31,678.0,0.13342138779567764,22,375.0,0.24583580278588432,17,337.0,0.31463335109451507,36,634.0,0.14927202315128052,43,713.0,0.12421905195702915,20,430.0,0.2566069743325521,23,604.0,0.2506449380050276,27,567.0,0.15746770236701005,29,444.0,0.24541622234156402,20,461.0,0.19552949537350223,-7.556,403,403,8098.0
85.0,450,6697.0,8.2577065351418,2.631674535151995,21,443.0,0.14216515957321663,20,604.0,0.1568802342008376,22,587.0,0.25084950031413733,25,708.0,0.20693892119199403,30,478.0,0.16683429500473854,25,563.0,0.22364214662741685,33,751.0,0.12169011698076555,31,507.0,0.1738785156977466,22,432.0,0.27784499827265485,37,707.0,0.17215401902430535,47,845.0,0.11320124672328669,23,447.0,0.19272694756348102,23,637.0,0.26499637169082785,35,727.0,0.12630896113666557,37,547.0,0.12203913682041434,18,501.0,0.23774636467782198,-8.419,449,449,9484.0
90.0,478,7741.0,9.16094674556213,2.585776620103779,18,448.0,0.24916886230165639,23,657.0,0.16050126015857166,28,717.0,0.180105859114272,31,816.0,0.14659080310919756,33,583.0,0.15866363257592092,32,678.0,0.14769941124645417,30,753.0,0.17891049393961495,32,640.0,0.17569309071068157,28,561.0,0.2758345784513327,43,867.0,0.14736500988572543,44,961.0,0.15177492015990526,23,438.0,0.20080435551920897,25,756.0,0.22027230406532705,33,850.0,0.10996814478517244,36,637.0,0.14776625534149054,18,484.0,0.27094889268886674,-8.944,477,477,10846.0
95.0,528,8685.0,9.780405405405405,2.180335150384607,25,547.0,0.23261737194901166,29,712.0,0.18472007456672096,32,835.0,0.16991999661507445,30,941.0,0.09438956982658046,31,662.0,0.14790367984498265,36,724.0,0.13389781569007533,34,848.0,0.16713366911883318,36,760.0,0.1339254829853105,30,683.0,0.197753852896923,51,1039.0,0.09723251289636992,48,1087.0,0.1184444148864324,24,445.0,0.21798968753229653,26,886.0,0.16163847600734396,35,984.0,0.05765410389227217,33,776.0,0.11901520423915381,28,596.0,0.16627867383825637,-9.9,528,528,12525.0
100.0,572,10255.0,11.050646551724139,2.1042055683248395,28,676.0,0.15727021912984515,29,844.0,0.1707735135072816,42,1017.0,0.1334689358261625,36,1099.0,0.054885162493124105,34,794.0,0.15744165593730197,38,780.0,0.14860823356854466,35,910.0,0.18052299376059905,34,867.0,0.16180654736197733,35,823.0,0.2211381097754472,54,1207.0,0.0695684180939305,45,1187.0,0.13792133648591173,26,476.0,0.18058958436852157,28,982.0,0.11154500584242767,37,1136.0,0.08329195976507645,38,932.0,0.09780536856025603,33,754.0,0.1370717509863894,-10.725,572,572,14484.0
105.0,615,12092.0,12.741833508956796,1.7658371005040245,35,799.0,0.128120223085439,33,978.0,0.08625748516212807,48,1222.0,0.10700301994258793,41,1258.0,0.08151663620622586,36,972.0,0.14762452059732856,39,899.0,0.09362206982817213,38,1047.0,0.1281570423083433,36,951.0,0.14249101768184672,39,978.0,0.14785449174464216,49,1434.0,0.08488319789444504,48,1361.0,0.10945581239101913,27,584.0,0.18020854996562882,29,1093.0,0.09230551684500261,35,1291.0,0.13179731776546144,42,1126.0,0.05366549661381711,40,943.0,0.1404089333767454,-11.531,615,615,16936.0
110.0,657,14170.0,14.931506849315069,1.6360345603176676,33,930.0,0.11256207055587626,37,1129.0,0.08515182446195148,53,1456.0,0.08223338503569697,45,1473.0,0.06913081470014559,40,1142.0,0.13069363399120415,40,986.0,0.11738473543909053,46,1218.0,0.0949333644688684,29,1005.0,0.11992943833725822,43,1124.0,0.09663559087951036,48,1614.0,0.11716707427016365,52,1546.0,0.13763037008988901,38,714.0,0.1202447377143616,34,1257.0,0.0740054118208614,40,1465.0,0.06715150162818825,39,1239.0,0.10931790343498221,38,1080.0,0.1642465152704462,-12.281,655,655,19378.0
115.0,687,15745.0,16.66137566137566,1.2999576307828216,36,1080.0,0.09284195870293611,35,1260.0,0.09639934505098838,57,1653.0,0.015475931787781515,52,1699.0,0.050780349263641895,48,1343.0,0.07379289027395444,45,1081.0,0.08553184041352746,46,1388.0,0.10210128099061357,25,938.0,0.14966383071645106,43,1177.0,0.06680293187461396,53,1844.0,0.05650691687628182,56,1684.0,0.06250495995710667,41,841.0,0.09033039691406375,37,1320.0,0.04774478767870389,42,1582.0,0.042412125704347346,33,1394.0,0.10995863323521088,36,1157.0,0.15634290896673603,-12.844,685,685,21441.0
120.0,690,17013.0,18.04135737009544,1.2853253659070256,37,1168.0,0.045528706624262234,35,1389.0,0.07696381320497718,57,1872.0,0.04198876631498597,56,1974.0,0.017147679338981744,48,1540.0,0.05563546881124638,49,1281.0,0.08762116304138969,48,1528.0,0.13786964631675333,22,929.0,0.16334245661608068,39,1154.0,0.09214744788929252,59,2104.0,0.08912172939774261,58,1747.0,0.06366705241404717,38,899.0,0.09660878888844934,30,1330.0,0.09100268321681387,41,1702.0,0.02605305874619025,37,1563.0,0.04551166517009937,35,1273.0,0.10699409253394036,-12.919,689,689,23453.0
125.0,708,19009.0,20.17940552016985,1.1014122184492852,34,1228.0,0.08192926201321062,37,1555.0,0.02680155919258742,53,2143.0,0.04838860533922987,59,2270.0,0.026628536412095994,49,1733.0,0.03957500560725599,54,1492.0,0.08622517438219858,49,1733.0,0.09545823047746892,26,967.0,0.14859079095793756,40,1318.0,0.0625796162796107,55,2348.0,0.07303649855683142,55,1955.0,0.05979236608010226,38,1030.0,0.0828366656443884,30,1406.0,0.08964086890959433,48,1928.0,0.014798569871386516,41,1668.0,0.01838382693997032,38,1452.0,0.05890587100444258,-13.238,706,706,26226.0
130.0,733,21032.0,22.49411764705882,0.9598363174454082,30,1374.0,0.10052021842254863,40,1751.0,0.011311411981123329,54,2409.0,0.03374803999200693,62,2573.0,0.043198477119584563,52,1977.0,0.006026413184161269,54,1668.0,0.0926979172712287,53,1926.0,0.08142924658029933,32,1042.0,0.058551656238796816,41,1493.0,0.06120911380775038,58,2580.0,0.041226551303071964,52,2066.0,0.11958933172659862,45,1236.0,0.042189136265232595,35,1571.0,0.05510188243553479,44,2109.0,0.02743474565627945,35,1692.0,0.044338168448908546,43,1659.0,0.05750828402322932,-13.687,730,730,29126.0
135.0,729,22366.0,23.99785407725322,0.8136215211328578,28,1482.0,0.06353527452196597,38,1866.0,0.07272595152451433,55,2681.0,0.026437423393496886,63,2884.0,0.025063149443002003,51,2180.0,0.03434216970393339,48,1742.0,0.07568110584912005,52,2027.0,0.07953413894174015,33,1102.0,0.03674615424101195,37,1585.0,0.04340718256418437,64,2817.0,0.014167717362816865,50,2164.0,0.08508708220908068,46,1375.0,0.018226565318051897,33,1746.0,0.055924536280106185,45,2265.0,0.023663399082104564,33,1752.0,0.05661239349422772,49,1895.0,0.019372354908787366,-13.594,725,725,31563.0
140.0,717,23332.0,25.115177610333692,0.9651397640311112,32,1550.0,0.034222887132997384,32,1803.0,0.11512093902140715,52,2827.0,0.01790302957373128,65,3203.0,0.000103914757630024,45,2380.0,0.020137058050296294,44,1906.0,0.0774933494347135,54,1984.0,0.08428217235026152,29,1223.0,0.09822804142880491,34,1591.0,0.08093775485709162,63,3031.0,0.07172199535726588,59,2226.0,0.07011014539624183,44,1418.0,0.06056537632474204,37,1919.0,0.049085550163707595,44,2435.0,0.046995063908674514,33,1866.0,0.035776979197698046,46,2097.0,0.045176543964566315,-13.369,713,713,33459.0
145.0,699,24528.0,26.57421451787649,0.9382544796387249,38,1728.0,0.008542709493470257,29,1912.0,0.07688182244437863,48,2869.0,0.04783264242682371,59,3418.0,0.023689227912269926,44,2603.0,0.028087309825655746,47,2047.0,0.06288065304621857,52,2213.0,0.0971587535731538,26,1336.0,0.10437274822829733,33,1624.0,0.11194598259448264,61,3310.0,0.05341925216628809,60,2438.0,0.043422748367136305,37,1491.0,0.03628151644603109,43,2120.0,0.06774590197543263,42,2647.0,0.048427911060645465,34,2010.0,0.008144425379270707,42,2276.0,0.05207014477262123,-13.031,695,695,36042.0
150.0,699,26039.0,28.272529858849076,1.098510183320235,37,1850.0,0.032573488340798123,31,2005.0,0.11500035420355109,53,3092.0,0.04426629838534339,53,3502.0,0.03791022095018155,43,2824.0,0.04445329948411564,54,2211.0,0.08851651191500702,49,2400.0,0.07712675196021741,25,1327.0,0.1145747494977962,31,1696.0,0.08819164131514418,67,3623.0,0.053733617167845374,62,2624.0,0.0562516990659272,28,1525.0,0.10486175086524874,44,2268.0,0.049148978313462384,41,2872.0,0.042039808250348,32,2123.0,0.08265279454601353,48,2502.0,0.005200059822785954,-13.088,698,698,38444.0
155.0,707,27473.0,29.829533116178066,0.9496180964225461,35,1963.0,0.021932763376395433,28,1989.0,0.08223048563797777,46,3164.0,0.02943464685278535,54,3770.0,0.02044695882123115,41,2954.0,0.030934052010383857,54,2379.0,0.08484600631314719,54,2535.0,0.09134639301564351,28,1285.0,0.17091068146828362,35,1801.0,0.05085385546711168,68,3917.0,0.03418739434513369,62,2807.0,0.055018842133089496,31,1618.0,0.0905302667812281,47,2445.0,0.011125494567933068,41,3005.0,0.033723355712998615,31,2110.0,0.024480868146864142,50,2749.0,0.017746114427092063,-13.219,705,705,40491.0
160.0,693,27746.0,30.257360959651034,1.0278262031617174,26,2048.0,0.033342125271301835,32,1963.0,0.030423533747806784,41,3316.0,0.046371998692076886,50,3944.0,0.02225124335334729,41,3018.0,0.06004684475735006,54,2581.0,0.07830689135474149,57,2605.0,0.09706488596977111,27,1290.0,0.19481316009662375,31,1857.0,0.10246339067394718,68,4160.0,0.03873912769107989,64,2916.0,0.040219343556558505,37,1738.0,0.07680470046530667,48,2594.0,0.008977986888700069,40,3078.0,0.05194552344173841,28,2094.0,0.03895478852514916,45,2825.0,0.024305095956904683,-12.919,689,689,42027.0
165.0,680,27616.0,30.313940724478595,1.199042821859887,28,2182.0,0.010348307746180877,31,2122.0,0.09355115683457219,36,3325.0,0.08630872607909947,49,4047.0,0.04204947607737501,37,2918.0,0.09175761647014505,56,2752.0,0.06569059032258585,65,2804.0,0.08308028730685357,24,1177.0,0.1650767566099142,31,1782.0,0.18688571527348388,68,4404.0,0.08256303102355066,68,3009.0,0.03991242977725459,42,1905.0,0.11012983163416888,42,2646.0,0.025071147934212997,38,3201.0,0.049649910070706016,22,2146.0,0.05350004272879537,41,2752.0,0.024566227493293586,-12.713,678,678,43172.0
170.0,669,28080.0,31.061946902654867,0.967645515378867,31,2332.0,0.03206032683437171,32,2278.0,0.08808533388306425,37,3267.0,0.022640471857107887,49,4188.0,0.031343971713814624,37,2572.0,0.10438864171114055,56,2982.0,0.06664770240384894,64,3083.0,0.03731840426015086,21,1170.0,0.09671196809481664,35,1793.0,0.09583292151722417,67,4731.0,0.09291919131542722,64,3163.0,0.05806565676096237,42,2120.0,0.05684624428811669,36,2771.0,0.036165195348046596,36,3254.0,0.04508662054533243,20,2116.0,0.09152319390640794,39,2948.0,0.027997357075544762,-12.488,666,666,44768.0
175.0,693,27566.0,30.527131782945737,0.8815395787420942,30,2426.0,0.021747651108223413,30,2247.0,0.05492992180730523,44,3245.0,0.02992358830308375,49,4308.0,0.023481320534949248,35,2629.0,0.06473642468957429,58,3195.0,0.0911007961458532,65,3382.0,0.07005371352513688,26,1139.0,0.07729055331562414,42,1937.0,0.00043386793174132765,73,5064.0,0.05255466155001302,62,3213.0,0.06423783794800411,43,2324.0,0.038817444200052426,37,2948.0,0.025961719520751797,35,3144.0,0.050966447286389605,23,2178.0,0.09398772934258458,38,3028.0,0.014756085994831447,-12.938,690,690,46407.0
180.0,696,27169.0,30.154273029966703,0.91836118888618,34,2519.0,0.018769251958480542,32,2273.0,0.04299767800768591,42,3127.0,0.04129434653677018,50,4557.0,0.03668541303545155,31,2598.0,0.06799984690827918,57,3424.0,0.0544324137954943,63,3483.0,0.07411639675757674,22,1214.0,0.08170798978661242,42,2148.0,0.028060795829621586,78,5446.0,0.03377878041817786,58,3447.0,0.08719532274997907,50,2544.0,0.021659104528497532,41,3148.0,0.021501885912450468,32,2729.0,0.06879692124453046,28,2308.0,0.1092358280818767,33,3088.0,0.02698253622282533,-12.994,693,693,48053.0
185.0,685,26803.0,29.748057713651498,0.946686938950412,32,2685.0,0.0211926956226381,34,2415.0,0.021448705548096633,38,3099.0,0.10418492488554791,47,4749.0,0.042357847880317614,27,2522.0,0.09593679328393008,61,3724.0,0.06924522606226156,65,3404.0,0.08046585244957438,19,1252.0,0.08417548462090448,43,2361.0,0.03466491665374645,77,5788.0,0.05017941841791958,58,3591.0,0.05635282729413275,46,2612.0,0.03101715893709224,45,3365.0,0.007405013315681377,32,2698.0,0.055737309249711604,30,2384.0,0.11986520272439107,28,3140.0,0.01790446596000477,-12.788,682,682,49789.0
190.0,683,27358.0,30.465478841870823,0.9358667292195508,34,2852.0,0.03379149157486145,29,2488.0,0.0856828573309319,33,2957.0,0.11213032379150256,47,4893.0,0.044510745423756784,24,2649.0,0.0641156492293539,60,3795.0,0.040917277264544624,63,3593.0,0.07686681134424458,21,1335.0,0.17175118159466746,45,2582.0,0.0012854210661965965,78,6112.0,0.01539656389018246,67,3800.0,0.04305611817264893,40,2521.0,0.030538071489864763,47,3596.0,0.0012762736632889312,34,2792.0,0.01851959419578983,35,2552.0,0.08966526998632557,23,3094.0,0.06355887723949451,-12.75,680,680,51611.0
195.0,681,27648.0,31.03030303030303,1.0051402531220874,32,3012.0,0.02799799395486305,30,2534.0,0.1303906873093935,28,3130.0,0.06098535091650069,47,4772.0,0.028137518800997616,26,2779.0,0.0844718033872285,64,3676.0,0.07097643647491636,58,3789.0,0.10379652559602093,25,1440.0,0.11100308014222339,41,2710.0,0.03311970987491303,79,6505.0,0.000542994664473393,64,3898.0,0.051964589275294806,33,2604.0,0.07550591645312825,51,3844.0,0.0001584565516723206,35,2893.0,0.021791136706548274,38,2736.0,0.06943755839069828,28,3225.0,0.09614036004098185,-12.731,679,679,53547.0
200.0,685,28159.0,31.746335963923336,0.8933442027727745,36,3185.0,0.05227843010216842,33,2660.0,0.06436812907787733,29,3174.0,0.05678301984815651,42,4432.0,0.06964785119339234,31,2840.0,0.06502464703511149,65,3865.0,0.034024053070131566,64,3855.0,0.052822296423860673,27,1518.0,0.11664714447493932,34,2648.0,0.04882590950345148,81,6911.0,0.021257060008248087,62,4131.0,0.04122941535798011,29,2662.0,0.08139881984498804,51,4101.0,0.03642234310775587,29,2978.0,0.07343893222468968,36,2746.0,0.017950047423288484,36,3387.0,0.0287671352038556,-12.844,685,685,55093.0
205.0,699,28865.0,32.72675736961451,0.9058245484401337,40,3377.0,0.0834756666832181,38,2839.0,0.010017086738510156,29,3317.0,0.03957493939989946,39,4399.0,0.1018593068172286,37,2978.0,0.025615892487053697,65,4189.0,0.036961354215887136,68,3852.0,0.05325541265803351,29,1451.0,0.1303704007535368,29,2783.0,0.06333083309701362,81,7320.0,0.05026159204533647,71,4340.0,0.009205124286210311,30,2630.0,0.04698691528313328,46,4179.0,0.03395091477827095,26,2714.0,0.0757963257946295,29,2784.0,0.11832603093446178,42,3584.0,0.01769714706711277,-13.106,699,699,56736.0
210.0,692,29023.0,33.05580865603645,0.8387262437154209,37,3518.0,0.07814407409757944,39,3033.0,7.214154329759396e-07,29,3292.0,0.05325253351629954,38,4590.0,0.059504700294149615,43,3186.0,0.0010411724888515716,67,4461.0,0.02415574476987711,63,3979.0,0.05770359364016596,31,1590.0,0.08060138113925276,25,2917.0,0.047022742156167203,81,7711.0,0.02925483644779962,75,4713.0,0.005514076399668226,25,2588.0,0.03534384173430225,41,4292.0,0.029364372554561032,26,2743.0,0.08898780253351701,28,2855.0,0.14258677409483958,44,3803.0,0.0394852418721506,-12.975,692,692,59271.0
215.0,688,28990.0,33.28358208955224,0.9084927021205963,34,3501.0,0.06888902962600703,36,3190.0,0.06977440775997565,28,3290.0,0.0573126525711325,39,4629.0,0.06073345510972089,46,3416.0,0.030840303648474565,69,4774.0,0.004352132232120165,60,3898.0,0.06333381602216122,32,1735.0,0.06752817907713682,29,3054.0,0.028088016985456755,80,7806.0,0.026013639622519905,74,4948.0,0.009003693577036617,21,2569.0,0.03969676581898655,39,4406.0,0.028630172399096432,26,2698.0,0.06008936873342591,31,2988.0,0.1325792312114409,44,3936.0,0.03188280782529442,-12.9,688,688,60838.0
220.0,680,28696.0,33.13625866050808,1.2294468553038096,31,3419.0,0.07554142070747312,36,3361.0,0.10253736776796568,30,3213.0,0.07177339613167781,37,4446.0,0.06119845244273678,45,3533.0,0.028072121445576994,78,5155.0,0.01086099294651493,58,3767.0,0.0796791653735228,33,1893.0,0.13324068080206075,35,3216.0,0.0447796374564791,70,7569.0,0.05422432626506441,64,5006.0,0.052918225479548074,15,2456.0,0.08105805807801962,43,4323.0,0.0031308851548570303,24,2823.0,0.15883134920986644,34,3154.0,0.14103570461104464,47,4160.0,0.053443386513280275,-12.75,680,680,61494.0
225.0,664,28867.0,33.56627906976744,1.1913415359837232,26,3486.0,0.10801549755538171,37,3544.0,0.06462178729962272,33,3192.0,0.07685996521122447,36,4485.0,0.03134414612827391,41,3536.0,0.06463977981717667,77,5551.0,0.007201731063691296,55,3715.0,0.11015793839439772,31,1900.0,0.16452187948107472,41,3411.0,0.024901769269363862,64,7742.0,0.04021805446768757,59,5157.0,0.06172580613879728,17,2288.0,0.07130055278364497,40,4213.0,0.013059028403692004,27,2951.0,0.17341959155457864,34,3326.0,0.03702723859297882,46,4291.0,0.054583376617893226,-12.45,664,664,62788.0
